run_id,source_dataset,sensor_id,rows,duration_seconds,temperature_min_c,temperature_max_c,temperature_mean_c,temperature_std_c,largest_gap_seconds,missing_interval_count
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_017_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,80,26400,16.8,19.6,17.82,0.9882307422864359,600.0,9
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_018_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,116,35400,20.3,21.1,20.584482758620688,0.2510678738686848,600.0,3
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_018_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,3,600,19.7,19.8,19.733333333333334,0.04714045207910384,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_018_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,2232,687600,17.0,21.8,18.59780465949821,0.9780519834202046,600.0,61
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_018_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,144,45900,16.8,18.4,17.444444444444443,0.40393511885810773,600.0,10
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_019_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,146,46800,20.6,21.2,20.932191780821913,0.1816721914270993,600.0,11
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_019_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,108,33600,18.9,19.8,19.29814814814815,0.2545808033994977,600.0,5
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_019_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,461,141300,17.7,21.6,19.245119305856832,1.102178397556145,600.0,11
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_019_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,13,4200,16.7,16.8,16.723076923076917,0.042132504423474916,600.0,2
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_020_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,862,264000,19.4,20.9,20.281322505800464,0.3449827534331866,600.0,19
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_020_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,350,108900,18.4,21.8,19.197142857142858,0.6504001907773901,600.0,14
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_020_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,560,172800,17.9,21.5,18.950178571428573,0.7593935340393784,600.0,17
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_020_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,9,3000,16.6,16.7,16.633333333333333,0.04714045207910216,600.0,2
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_021_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,67,20400,19.5,20.1,19.862686567164175,0.1976245655884827,600.0,2
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_021_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,447,138600,17.8,22.0,19.453467561521254,1.1249977631393542,600.0,16
