timestamp,timestamp_seconds,run_id,node_id,operating_mode,measured_temperature,sensor_valid,predicted_state,risk_probability,applied_state,sampling_interval,transmission_interval,transmission_requested,transmission_reason,model_latency,fallback_status,battery_estimate
2026-01-01T00:48:00+00:00,2880.0,gradual_warming-20273476-438739b17b58,3,ml,6.6514,True,TRANSITION,0.2304052498422274,TRANSITION,30.0,120.0,False,not due,0.7272080001712311,ok,99.59299999999986
2026-01-01T00:49:00+00:00,2940.0,gradual_warming-20273476-438739b17b58,3,ml,6.7021,True,TRANSITION,0.2606486825694429,TRANSITION,30.0,120.0,True,interval due,0.7224590008263476,ok,99.57999999999986
2026-01-01T00:50:00+00:00,3000.0,gradual_warming-20273476-438739b17b58,3,ml,6.5556,True,TRANSITION,0.21117138708026242,TRANSITION,30.0,120.0,False,not due,0.7186250004451722,ok,99.57699999999986
2026-01-01T00:51:00+00:00,3060.0,gradual_warming-20273476-438739b17b58,3,ml,6.6983,True,TRANSITION,0.1503355633430114,TRANSITION,30.0,120.0,True,interval due,0.7889169992267853,ok,99.56399999999985
2026-01-01T00:52:00+00:00,3120.0,gradual_warming-20273476-438739b17b58,3,ml,6.8414,True,TRANSITION,0.2260686708405312,TRANSITION,30.0,120.0,False,not due,0.722999999197782,ok,99.56099999999985
2026-01-01T00:53:00+00:00,3180.0,gradual_warming-20273476-438739b17b58,3,ml,6.851,True,TRANSITION,0.26651200909974576,TRANSITION,30.0,120.0,True,interval due,0.7922080003481824,ok,99.54799999999985
2026-01-01T00:54:00+00:00,3240.0,gradual_warming-20273476-438739b17b58,3,ml,6.9409,True,TRANSITION,0.34887643111249367,TRANSITION,30.0,120.0,False,not due,0.7495420013583498,ok,99.54499999999985
2026-01-01T00:55:00+00:00,3300.0,gradual_warming-20273476-438739b17b58,3,ml,7.0085,True,TRANSITION,0.3137286758519009,TRANSITION,30.0,120.0,True,interval due,0.7365840010606917,ok,99.53199999999984
2026-01-01T00:56:00+00:00,3360.0,gradual_warming-20273476-438739b17b58,3,ml,6.9034,True,TRANSITION,0.19118150310712417,TRANSITION,30.0,120.0,False,not due,0.7500419997086283,ok,99.52899999999984
2026-01-01T00:57:00+00:00,3420.0,gradual_warming-20273476-438739b17b58,3,ml,7.0797,True,TRANSITION,0.23755947672755748,TRANSITION,30.0,120.0,True,interval due,0.683707999996841,ok,99.51599999999983
2026-01-01T00:58:00+00:00,3480.0,gradual_warming-20273476-438739b17b58,3,ml,7.0643,True,TRANSITION,0.2038512717048172,TRANSITION,30.0,120.0,False,not due,0.7321659995795926,ok,99.51299999999983
2026-01-01T00:59:00+00:00,3540.0,gradual_warming-20273476-438739b17b58,3,ml,7.0252,True,TRANSITION,0.21148396179838277,TRANSITION,30.0,120.0,True,interval due,0.7100000002537854,ok,99.49999999999983
2026-01-01T01:00:00+00:00,3600.0,gradual_warming-20273476-438739b17b58,3,ml,7.0594,True,TRANSITION,0.21815330600489993,TRANSITION,30.0,120.0,False,not due,0.7331659999181284,ok,99.49699999999983
2026-01-01T01:01:00+00:00,3660.0,gradual_warming-20273476-438739b17b58,3,ml,7.2376,True,TRANSITION,0.22477033966763751,TRANSITION,30.0,120.0,True,interval due,0.7547080003860174,ok,99.48399999999982
2026-01-01T01:02:00+00:00,3720.0,gradual_warming-20273476-438739b17b58,3,ml,7.3102,True,TRANSITION,0.3212247369762145,TRANSITION,30.0,120.0,False,not due,0.7623330002388684,ok,99.48099999999982
2026-01-01T01:03:00+00:00,3780.0,gradual_warming-20273476-438739b17b58,3,ml,7.1524,True,TRANSITION,0.2870216251271502,TRANSITION,30.0,120.0,True,interval due,0.7250829985423479,ok,99.46799999999982
2026-01-01T01:04:00+00:00,3840.0,gradual_warming-20273476-438739b17b58,3,ml,7.3395,True,TRANSITION,0.29922781992253333,TRANSITION,30.0,120.0,False,not due,0.723707998986356,ok,99.46499999999982
2026-01-01T01:05:00+00:00,3900.0,gradual_warming-20273476-438739b17b58,3,ml,7.364,True,TRANSITION,0.23769558243541142,TRANSITION,30.0,120.0,True,interval due,0.7890420001785969,ok,99.45199999999981
2026-01-01T01:06:00+00:00,3960.0,gradual_warming-20273476-438739b17b58,3,ml,7.3315,True,TRANSITION,0.2545612514537047,TRANSITION,30.0,120.0,False,not due,0.7411250007862691,ok,99.44899999999981
2026-01-01T01:07:00+00:00,4020.0,gradual_warming-20273476-438739b17b58,3,ml,7.3258,True,TRANSITION,0.2749999035708768,TRANSITION,30.0,120.0,True,interval due,0.7187089995568385,ok,99.43599999999981
2026-01-01T01:08:00+00:00,4080.0,gradual_warming-20273476-438739b17b58,3,ml,7.4311,True,TRANSITION,0.19967175190011027,TRANSITION,30.0,120.0,False,not due,0.8063340010266984,ok,99.43299999999981
2026-01-01T01:09:00+00:00,4140.0,gradual_warming-20273476-438739b17b58,3,ml,7.4677,True,TRANSITION,0.2275960326447239,TRANSITION,30.0,120.0,True,interval due,0.8522499992977828,ok,99.4199999999998
2026-01-01T01:10:00+00:00,4200.0,gradual_warming-20273476-438739b17b58,3,ml,7.5206,True,TRANSITION,0.2926977204312308,TRANSITION,30.0,120.0,False,not due,0.7963329990161583,ok,99.4169999999998
